Member,PocFirstName,Common Name 1,Common Name 2,Key Phrase 1,Key Phrase 2,Key Phrase 3,Key Phrase 4,Key Phrase 5,Key Phrase 6,Key Phrase 7,Key Phrase 8,Key Phrase 9,Key Phrase 10
Oshkosh Corporation,Chris,Oshkosh Corporation,Oshkosh,mobility,automobile,access vehicles,electrification,autonomy,batteries,,,,
FM,Jaap,FM,,climate risk,resilience,data centers,commercial insurance,nuclear,fusion,fission,sustainability,construction,real estate
Royal Caribbean Group,Brian,Royal Caribbean Group,RCG,cruise lines,maritime,ocean,decarbonization,ports,carbon capture,batteries,alternative fuels,sustainability,shipping
Humana,Simon,Humana,medicare advantage,seniors,health care,wellness,telehealth,healthcare spending,government health policy,health insurance,,,
Symbotic,Rachel,Symbotic,,robotics,logistics,warehouse automation,autonomy,,,,,,
Fidelity Center for Applied Technology,Aaron,FCAT,Fidelity,startups,ecosystem,innovation,artificial intelligence,blockchain,emerging technology,quantum,ai,fintech,immersion
SCBX,Tutanon,SCBX,,ai,artificial intelligence,sustainability,sustainable finance,fhe,blockchain,,,,
Commonwealth Bank of Australia,Casey,CommBank,CBA,ai,consumer behavior,ai vulnerabilities,fintech,solar,wind,australia,banking,,
Edward Jones,Patrick,EJI,,ai,financial advice,work of the future,fintech,sustainable finance,consumer behavior,stock markets,personal investing,,
HSBC,Jessica,Hong Kong & Shanghai Banking Corporation,,ai,fintech,work of the future,sustainable finance,banking,,,,,